27823,Павелец,53.78,39.23,209,62
27857,Земетчино,53.48,42.63,131,58
27872,Инза,53.85,46.42,175,73
27947,Тамбов,52.8,41.48,127,68
27962,Пенза,53.12,45.02,169,58
27995,Безенчук,52.98,49.43,45,63
28009,Кирс,59.35,52.25,167,43
28064,Леуши,59.63,65.72,70,86
28138,Бисер,58.52,58.85,463,59
28144,Верхотурье,58.87,60.78,124,66
28224,Пермь,58.0,56.33,171,59
28255,Туринск,58.05,63.68,101,66
28275,Тобольск,58.15,68.25,45,72
28312,Дебесы,57.63,53.82,187,18
28367,Тюмень,57.12,65.42,101,72
28402,Кильмезь,56.9,51.07,143,43
28411,Ижевск ,56.83,53.45,155,18
28418,Сарапул,56.47,53.73,135,18
28419,Янаул,56.27,54.9,98,2
28434,Красноуфимск,56.65,57.78,205,66
28440,Екатеринбург,56.83,60.63,280,66
28445,Верхнее Дуброво,56.73,61.07,286,66
28493,Тара,56.9,74.38,73,55
28506,Елабуга,55.77,52.05,90,16
28537,Дуван,55.7,57.9,337,2
28552,Шадринск,56.07,63.65,88,45
28561,Памятное,56.02,65.7,66,45
28573,Ишим,56.1,69.43,82,72
28624,Кушнаренково,55.13,55.35,98,2
28630,Златоуст,55.17,59.67,532,74
28661,Курган ,55.45,65.4,71,45
28666,Макушино,55.25,67.3,138,45
28698,Омск,55.02,73.38,121,55
28704,Чулпаново,54.5,50.42,76,16
28719,Аксаково,54.03,54.15,350,2
28722,Уфа,54.72,55.83,104,2
28748,Троицк,54.08,61.62,192,74
28802,Серноводск,53.92,51.27,112,63
28823,Тукан,53.87,57.42,551,2
28825,Стерлитамак,53.58,56.0,136,2
28833,Верхнеуральск,53.88,59.2,401,74
28895,Русская Поляна,53.78,73.88,127,55
29023,Напас,59.85,81.95,77,70
29111,Средний Васюган,59.22,78.23,68,70
29154,Усть-Озерное,58.88,87.75,113,70
29231,Колпашевская,58.32,82.95,73,70
29263,Енисейск,58.45,92.15,77,24
29282,Богучаны,58.38,97.45,131,24
29313,Пудино,57.57,79.43,96,70
29328,Бакчар,57.0,82.07,109,70
29348,Первомайское,57.07,86.22,114,70
29379,Тасеево,57.2,94.55,163,24
29393,Червянка,57.65,99.53,219,38
29418,Северное,56.33,78.37,124,54
29430,Томск ,56.5,84.92,141,70
29467,Ачинск,56.28,90.52,265,24
29539,Болотное,55.67,84.4,191,54
29541,Тайга,56.07,85.62,250,42
29557,Тисуль,55.75,88.3,210,42
29570,Красноярск опыт.поле,56.03,92.75,277,24
29580,Солянка,56.17,95.27,359,24
29594,Тайшет,55.95,98.0,305,38
29605,Татарск,55.22,76.02,112,54
29612,Барабинск,55.33,78.37,119,54
29638,Огурцово(Новосибирск),54.9,82.95,131,54
29645,Кемерово (Новостройка),55.25,86.22,148,42
29664,Светлолобово,55.1,90.83,326,24
29698,Нижнеудинск,54.88,99.03,410,38
29752,Ненастная,54.75,88.82,1186,19
29789,Верхняя Гутара,54.22,96.97,983,38
29822,Камень-на-Оби,53.82,81.27,127,22
29838,Барнаул ,53.43,83.52,183,22
29849,Кузедеево,53.33,87.18,293,42
29858,Неожиданный,53.28,89.07,527,19
29862,Абакан (Хакасский),53.77,91.32,254,19
29866,Минусинск,53.72,91.7,254,24
29915,Славгород,52.97,78.65,125,22
29923,Ребриха,53.08,82.33,218,22
29939,Бийск-Зональная,52.68,84.93,224,22
29974,Оленья Речка,52.8,93.23,1404,24
29998,Орлик,52.5,99.82,1376,3
30028,Ика,59.28,106.17,350,38
30054,Витим,59.45,112.58,186,14
30069,Перевоз,59.0,116.92,330,38
30089,Джикимда,59.02,121.77,174,14
30209,Ершово,57.12,102.3,371,38
30219,Максимово,57.1,104.97,354,38
30230,Киренск,57.77,108.07,256,38
30252,Мамакан,57.82,114.02,244,38
